mandals,districts,villages
Kanekal,Anantapuramu,
Kundurpi,Anantapuramu,
Rayadurg,Anantapuramu,
Settur,Anantapuramu,
B. Kothakota,Anantapuramu,
Kalikiri,Anantapuramu,
Kurabalakota,Anantapuramu,
Madanapalle,Anantapuramu,
Mulakalacheruvu,Anantapuramu,
Nimmanapalle,Anantapuramu,
Peddathippasamudram,Anantapuramu,
Peddamandyam,Anantapuramu,
Ramasamudram,Anantapuramu,
Thamballapalle,Anantapuramu,
Valmikipuram,Anantapuramu,
Punganur,Anantapuramu,
Sodam,Anantapuramu,
Somala,Anantapuramu,
Pulicherla,Annamayya,
Rompicherla,Annamayya,
Chowdepalle,Annamayya,
Chitvel,Annamayya,
Kodur,Annamayya,
Nandalur,Annamayya,
Obulavaripalle,Annamayya,
Penagalur,Annamayya,
Pullampeta,Annamayya,
Rajampet,Annamayya,
T. Sundupalle,Annamayya,
Veeraballi,Annamayya,
Chinnamandyam,Annamayya,
Galiveedu,Annamayya,
Gurramkonda,Annamayya,
Kalakada,Annamayya,
K. V. Palle,Annamayya,
Lakkireddypalli,Annamayya,
Pileru,Annamayya,
Ramapuram,Annamayya,
Rayachoti,Annamayya,
Sambepalli,Annamayya,
Bapatla,Bapatla,
Karlapalem,Bapatla,
Martur,Bapatla,
Parchur,Bapatla,
Pittalavanipalem,Bapatla,
Yeddanapudi,Bapatla,
Addanki,Bapatla,
Ballikurava,Bapatla,
Chinaganjam,Bapatla,
Chirala,Bapatla,
Inkollu,Bapatla,
Janakavarampanguluru,Bapatla,
Karamchedu,Bapatla,
Korisapadu,Bapatla,
Santhamaguluru,Bapatla,
Vetapalem,Bapatla,
Amruthalur,Bapatla,
Bhattiprolu,Bapatla,
Cherukupalle,Bapatla,
Kolluru,Bapatla,
Nagaram,Bapatla,
Nizampatnam,Bapatla,
Repalle,Bapatla,
Tsundur,Bapatla,
Vemuru,Bapatla,
Chittoor Rural,Chittoor,
Chittoor Urban,Chittoor,
Gangadhara Nellore,Chittoor,
Gudipala,Chittoor,
Irala,Chittoor,
Penumuru,Chittoor,
Puthalapattu,Chittoor,
Sri Rangaraja Puram,Chittoor,
Thavanampalle,Chittoor,
Vedurukuppam,Chittoor,
Yadamarri,Chittoor,
Kuppam,Chittoor,
Ramakuppam,Chittoor,
Santhipuram,Chittoor,
Gudipalle,Chittoor,
Nagari,Chittoor,
Nindra,Chittoor,
Palasamudram,Chittoor,
Vijayapuram,Chittoor,
Karvetinagar,Chittoor,
Bangarupalem,Chittoor,
Gangavaram,Chittoor,
Palamaner,Chittoor,
Peddapanjani,Chittoor,
Punganur,Chittoor,
Venkatagirikota,Chittoor,
Baireddipalle,Chittoor,
Allavaram,Dr. B.R. Ambedkar Konaseema,
Amalapuram,Dr. B.R. Ambedkar Konaseema,
I. Polavaram,Dr. B.R. Ambedkar Konaseema,
Katrenikona,Dr. B.R. Ambedkar Konaseema,
Malikipuram,Dr. B.R. Ambedkar Konaseema,
Mamidikuduru,Dr. B.R. Ambedkar Konaseema,
Mummidivaram,Dr. B.R. Ambedkar Konaseema,
Razole,Dr. B.R. Ambedkar Konaseema,
Sakhinetipalle,Dr. B.R. Ambedkar Konaseema,
Uppalaguptam,Dr. B.R. Ambedkar Konaseema,
Ainavilli,Dr. B.R. Ambedkar Konaseema,
Alamuru,Dr. B.R. Ambedkar Konaseema,
Ambajipeta,Dr. B.R. Ambedkar Konaseema,
Atreyapuram,Dr. B.R. Ambedkar Konaseema,
Kothapeta,Dr. B.R. Ambedkar Konaseema,
P. Gannavaram,Dr. B.R. Ambedkar Konaseema,
Ravulapalem,Dr. B.R. Ambedkar Konaseema,
K. Gangavaram,Dr. B.R. Ambedkar Konaseema,
Kapileswarapuram,Dr. B.R. Ambedkar Konaseema,
Mandapeta,Dr. B.R. Ambedkar Konaseema,
Ramachandrapuram,Dr. B.R. Ambedkar Konaseema,
Rayavaram,Dr. B.R. Ambedkar Konaseema,
Chagallu,East Godavari,
Devarapalle,East Godavari,
Gopalapuram,East Godavari,
Kovvur,East Godavari,
Nallajerla,East Godavari,
Nidadavole,East Godavari,
Peravali,East Godavari,
Tallapudi,East Godavari,
Undrajavaram,East Godavari,
Anaparthi,East Godavari,
Biccavolu,East Godavari,
Gokavaram,East Godavari,
Kadiam,East Godavari,
Korukonda,East Godavari,
Rajahmundry Urban,East Godavari,
Rajahmundry Rural,East Godavari,
Rajanagaram,East Godavari,
Rangampeta,East Godavari,
Seethanagaram,East Godavari,
Bhimadole,Eluru,
Denduluru,Eluru,
Eluru,Eluru,
Kaikalur,Eluru,
Kalidindi,Eluru,
Mandavalli,Eluru,
Mudinepalle,Eluru,
Nidamarru,Eluru,
Pedapadu,Eluru,
Pedavegi,Eluru,
Unguturu,Eluru,
Buttayagudem,Eluru,
Dwaraka Tirumala,Eluru,
Jangareddygudem,Eluru,
Jeelugu Milli,Eluru,
Kamavarapukota,Eluru,
Koyyalagudem,Eluru,
Kukunoor,Eluru,
Polavaram,Eluru,
T. Narasapuram,Eluru,
Velairpadu,Eluru,
Agiripalli,Eluru,
Chatrai,Eluru,
Chintalapudi,Eluru,
Lingapalem,Eluru,
Musunuru,Eluru,
Nuzvid,Eluru,
Guntur East,Guntur,
Guntur West,Guntur,
Medikonduru,Guntur,
Pedakakani,Guntur,
Pedanandipadu,Guntur,
Phirangipuram,Guntur,
Prathipadu,Guntur,
Tadikonda,Guntur,
Thullur,Guntur,
Vatticherukuru,Guntur,
Chebrolu,Guntur,
Duggirala,Guntur,
Kakumanu,Guntur,
Kollipara,Guntur,
Mangalagiri,Guntur,
Ponnur,Guntur,
Tadepalle,Guntur,
Tenali,Guntur,
Gollaprolu,Kakinada,
Kajuluru,Kakinada,
Kakinada Rural,Kakinada,
Kakinada Urban,Kakinada,
Karapa,Kakinada,
Kothapalle,Kakinada,
Pedapudi,Kakinada,
Pithapuram,Kakinada,
Samalkota,Kakinada,
Thallarevu,Kakinada,
Gandepalle,Kakinada,
Jaggampeta,Kakinada,
Kirlampudi,Kakinada,
Kotananduru,Kakinada,
Peddapuram,Kakinada,
Prathipadu,Kakinada,
Rowthulapudi,Kakinada,
Sankhavaram,Kakinada,
Thondangi,Kakinada,
Tuni,Kakinada,
Yeleswaram,Kakinada,
Bapulapadu,Krishna,
Gannavaram,Krishna,
Gudivada,Krishna,
Gudlavalleru,Krishna,
Nandivada,Krishna,
Pedaparupudi,Krishna,
Unguturu,Krishna,
Avanigadda,Krishna,
Bantumilli,Krishna,
Challapalli,Krishna,
Ghantasala,Krishna,
Guduru,Krishna,
Koduru,Krishna,
Kruthivennu,Krishna,
Machilipatnam,Krishna,
Mopidevi,Krishna,
Nagayalanka,Krishna,
Pedana,Krishna,
Kankipadu,Krishna,
Movva,Krishna,
Pamarru,Krishna,
Pamidimukkala,Krishna,
Penamaluru,Krishna,
Thotlavalluru,Krishna,
Vuyyuru,Krishna,
Adoni,Kurnool,
Gonegandla,Kurnool,
Holagunda,Kurnool,
Kosigi,Kurnool,
Kowthalam,Kurnool,
Mantralayam,Kurnool,
Nandavaram,Kurnool,
Pedda Kadubur,Kurnool,
Yemmiganur,Kurnool,
C.Belagal,Kurnool,
Gudur,Kurnool,
Kallur,Kurnool,
Kodumur,Kurnool,
Kurnool Urban,Kurnool,
Kurnool Rural,Kurnool,
Orvakal,Kurnool,
Veldurthi,Kurnool,
Alur,Kurnool,
Aspari,Kurnool,
Chippagiri,Kurnool,
Devanakonda,Kurnool,
Halaharvi,Kurnool,
Krishnagiri,Kurnool,
Maddikera East,Kurnool,
Pattikonda,Kurnool,
Tuggali,Kurnool,
Atmakur,Nandyal,
Bandi Atmakur,Nandyal,
Jupadu Bungalow,Nandyal,
Kothapalle,Nandyal,
Midthuru,Nandyal,
Nandikotkur,Nandyal,
Pagidyala,Nandyal,
Pamulapadu,Nandyal,
Srisailam,Nandyal,
Velgodu,Nandyal,
Banaganapalle,Nandyal,
Bethamcherla,Nandyal,
Dhone,Nandyal,
Koilkuntla,Nandyal,
Owk,Nandyal,
Peapally,Nandyal,
Allagadda,Nandyal,
Chagalamarri,Nandyal,
Dornipadu,Nandyal,
Gadivemula,Nandyal,
Gospadu,Nandyal,
Kolimigundla,Nandyal,
Mahanandi,Nandyal,
Nandyal Rural,Nandyal,
Nandyal Urban,Nandyal,
Panyam,Nandyal,
Rudravaram,Nandyal,
Sanjamala,Nandyal,
Sirivella,Nandyal,
Uyyalawada,Nandyal,
Chandarlapadu,NTR,
Jaggayyapeta,NTR,
Kanchikacherla,NTR,
Nandigama,NTR,
Penuganchiprolu,NTR,
Vatsavai,NTR,
Veerullapadu,NTR,
A. Konduru,NTR,
Gampalagudem,NTR,
Reddigudem,NTR,
Tiruvuru,NTR,
Vissannapeta,NTR,
G.Konduru,NTR,
Ibrahimpatnam,NTR,
Mylavaram,NTR,
Vijayawada Rural,NTR,
Vijayawada North,NTR,
Vijayawada Central,NTR,
Vijayawada East,NTR,
Vijayawada West,NTR,
Dachepalle,Palnadu,
Durgi,Palnadu,
Gurazala,Palnadu,
Karempudi,Palnadu,
Macherla,Palnadu,
Machavaram,Palnadu,
Piduguralla,Palnadu,
Rentachintala,Palnadu,
Veldurthi,Palnadu,
Bollapalle,Palnadu,
Chilakaluripet,Palnadu,
Edlapadu,Palnadu,
Ipuru,Palnadu,
Nadendla,Palnadu,
Narasaraopet,Palnadu,
Nuzendla,Palnadu,
Rompicherla,Palnadu,
Savalyapuram,Palnadu,
Vinukonda,Palnadu,
Amaravathi,Palnadu,
Atchampet,Palnadu,
Bellamkonda,Palnadu,
Krosuru,Palnadu,
Muppalla,Palnadu,
Nekarikallu,Palnadu,
Pedakurapadu,Palnadu,
Rajupalem,Palnadu,
Sattenapalle,Palnadu,
Bhamini,Parvathipuram Manyam,
Gummalakshmipuram,Parvathipuram Manyam,
Jiyyammavalasa,Parvathipuram Manyam,
Kurupam,Parvathipuram Manyam,
Palakonda,Parvathipuram Manyam,
Seethampeta,Parvathipuram Manyam,
Veeraghattam,Parvathipuram Manyam,
Balijipeta,Parvathipuram Manyam,
Garugubilli,Parvathipuram Manyam,
Komarada,Parvathipuram Manyam,
Makkuva,Parvathipuram Manyam,
Pachipenta,Parvathipuram Manyam,
Parvathipuram,Parvathipuram Manyam,Narsipuram
Parvathipuram,Parvathipuram Manyam,Putturu
Parvathipuram,Parvathipuram Manyam,Pedabondapalli
Parvathipuram,Parvathipuram Manyam,Bandaluppi
Parvathipuram,Parvathipuram Manyam,Venkampeta
Salur,Parvathipuram Manyam,
Seethanagaram,Parvathipuram Manyam,
Chandra Sekhara Puram,Prakasam,
Darsi,Prakasam,
Donakonda,Prakasam,
Hanumanthuni Padu,Prakasam,
Kanigiri,Prakasam,
Konakanamitla,Prakasam,
Kurichedu,Prakasam,
Marripudi,Prakasam,
Pamuru,Prakasam,
Pedacherlo Palle,Prakasam,
Podili,Prakasam,
Ponnaluru,Prakasam,
Veligandla,Prakasam,
Ardhaveedu,Prakasam,
Bestawaripeta,Prakasam,
Cumbum,Prakasam,
Dornala,Prakasam,
Giddalur,Prakasam,
Komarolu,Prakasam,
Markapuram,Prakasam,
Peda Araveedu,Prakasam,
Pullalacheruvu,Prakasam,
Racherla,Prakasam,
Tarlupadu,Prakasam,
Tripuranthakam,Prakasam,
Yerragondapalem,Prakasam,
Chimakurthi,Prakasam,
Kondapi,Prakasam,
Kotha Patnam,Prakasam,
Maddipadu,Prakasam,
Mundlamuru,Prakasam,
Naguluppalapadu,Prakasam,
Ongole,Prakasam,
Santhanuthala Padu,Prakasam,
Singarayakonda,Prakasam,
Tangutur,Prakasam,
Thallur,Prakasam,
Zarugumilli,Prakasam,
Ananthasagaram,Potti Sriramulu Nellore,
Anumasamudrampeta,Potti Sriramulu Nellore,
Atmakur,Potti Sriramulu Nellore,
Chejerla,Potti Sriramulu Nellore,
Kaluvoya,Potti Sriramulu Nellore,
Marripadu,Potti Sriramulu Nellore,
Sangam,Potti Sriramulu Nellore,
Sitarampuramu,Potti Sriramulu Nellore,
Udayagiri,Potti Sriramulu Nellore,
Gudluru,Potti Sriramulu Nellore,
Kandukur,Potti Sriramulu Nellore,
Kondapuram,Potti Sriramulu Nellore,
Lingasamudram,Potti Sriramulu Nellore,
Ulavapadu,Potti Sriramulu Nellore,
Varikuntapadu,Potti Sriramulu Nellore,
Voletivaripalem,Potti Sriramulu Nellore,
Allur,Potti Sriramulu Nellore,
Bogolu,Potti Sriramulu Nellore,
Dagadarthi,Potti Sriramulu Nellore,
Duttaluru,Potti Sriramulu Nellore,
Jaladanki,Potti Sriramulu Nellore,
Kaligiri,Potti Sriramulu Nellore,
Kavali,Potti Sriramulu Nellore,
Kodavaluru,Potti Sriramulu Nellore,
Vidavaluru,Potti Sriramulu Nellore,
Vinjamuru,Potti Sriramulu Nellore,
Buchireddypalem,Potti Sriramulu Nellore,
Indukurpet,Potti Sriramulu Nellore,
Kovur,Potti Sriramulu Nellore,
Manubolu,Potti Sriramulu Nellore,
Muttukuru,Potti Sriramulu Nellore,
Nellore Urban,Potti Sriramulu Nellore,
Nellore Rural,Potti Sriramulu Nellore,
Podalakuru,Potti Sriramulu Nellore,
Rapuru,Potti Sriramulu Nellore,
Saidapuramu,Potti Sriramulu Nellore,
Thotapalligudur,Potti Sriramulu Nellore,
Venkatachalam,Potti Sriramulu Nellore,
Bathalapalle,Sri Sathya Sai,
Chennekothapalle,Sri Sathya Sai,
Dharmavaram,Sri Sathya Sai,
Kanaganapalle,Sri Sathya Sai,
Mudigubba,Sri Sathya Sai,
Ramagiri,Sri Sathya Sai,
Tadimarri,Sri Sathya Sai,
Amadagur,Sri Sathya Sai,
Gandlapenta,Sri Sathya Sai,
Kadiri,Sri Sathya Sai,
Lepakshi,Sri Sathya Sai,
Nallacheruvu,Sri Sathya Sai,
Nambulapulakunta,Sri Sathya Sai,
Tanakal,Sri Sathya Sai,
Agali,Sri Sathya Sai,
Amarapuram,Sri Sathya Sai,
Chilamathur,Sri Sathya Sai,
Gudibanda,Sri Sathya Sai,
Hindupur,Sri Sathya Sai,
Madakasira,Sri Sathya Sai,
Parigi,Sri Sathya Sai,
Penukonda,Sri Sathya Sai,
Roddam,Sri Sathya Sai,
Rolla,Sri Sathya Sai,
Somandepalle,Sri Sathya Sai,
Talupula,Sri Sathya Sai,
Bukkapatnam,Sri Sathya Sai,
Gorantla,Sri Sathya Sai,
Kothacheruvu,Sri Sathya Sai,
Nallamada,Sri Sathya Sai,
Obuladevaracheruvu,Sri Sathya Sai,
Puttaparthi,Sri Sathya Sai,
Ichchapuram,Srikakulam,
Kanchili,Srikakulam,
Kaviti,Srikakulam,
Mandasa,Srikakulam,
Nandigam,Srikakulam,
Palasa,Srikakulam,
Sompeta,Srikakulam,
Vajrapukothuru,Srikakulam,
Amadalavalasa,Srikakulam,
Burja,Srikakulam,
Etcherla,Srikakulam,
Ganguvarisigadam,Srikakulam,
Gara,Srikakulam,
Jalumuru,Srikakulam,
Laveru,Srikakulam,
Narasannapeta,Srikakulam,
Polaki,Srikakulam,
Ponduru,Srikakulam,
Ranastalam,Srikakulam,
Sarubujjili,Srikakulam,
Srikakulam,Srikakulam,
Hiraam,Srikakulam,
Kotabommali,Srikakulam,
Kothuru,Srikakulam,
Lakshminarsupeta,Srikakulam,
Meliaputti,Srikakulam,
Pathapatnam,Srikakulam,
Santhabommali,Srikakulam,
Saravakota,Srikakulam,
Tekkali,Srikakulam,
Balayapalli,Tirupati,
Chillakur,Tirupati,
Chittamur,Tirupati,
Dakkili,Tirupati,
Gudur,Tirupati,
Kota,Tirupati,
Vakadu,Tirupati,
Venkatagiri,Tirupati,
K. V. B. Puram,Tirupati,
Nagalapuram,Tirupati,
Narayanavanam,Tirupati,
Pichatur,Tirupati,
Renigunta,Tirupati,
Srikalahasti,Tirupati,
Thottambedu,Tirupati,
Yerpedu,Tirupati,
Buchinaidu Kandriga,Tirupati,
Doravarisatram,Tirupati,
Naidupeta,Tirupati,
Ojili,Tirupati,
Pellakuru,Tirupati,
Satyavedu,Tirupati,
Sullurpeta,Tirupati,
Tada,Tirupati,
Varadaiahpalem,Tirupati,
Chandragiri,Tirupati,
Chinnagottigallu,Tirupati,
Pakala,Tirupati,
Puttur,Tirupati,
Ramachandrapuram,Tirupati,
Tirupati Rural,Tirupati,
Tirupati Urban,Tirupati,
Vadamalapeta,Tirupati,
Yerravaripalem,Tirupati,
Anandapuram,Visakhapatnam,
Bheemunipatnam,Visakhapatnam,
Padmanabham,Visakhapatnam,
Seethammadhara,Visakhapatnam,
Visakhapatnam Rural,Visakhapatnam,
Gajuwaka,Visakhapatnam,
Gopalapatnam,Visakhapatnam,
Maharanipeta,Visakhapatnam,
Mulagada,Visakhapatnam,
Pedagantyada,Visakhapatnam,
Pendurthi,Visakhapatnam,
Badangi,Vizianagaram,
Bobbili,Vizianagaram,
Dattirajeru,Vizianagaram,
Gajapathinagaram,Vizianagaram,
Mentada,Vizianagaram,
Ramabhadrapuram,Vizianagaram,
Therlam,Vizianagaram,
Cheepurupalle,Vizianagaram,
Garividi,Vizianagaram,
Gurla,Vizianagaram,
Merakamudidam,Vizianagaram,
Rajam,Vizianagaram,
Regidi Amadalavalasa,Vizianagaram,
Santhakaviti,Vizianagaram,
Vangara,Vizianagaram,
Bhogapuram,Vizianagaram,
Bondapalle,Vizianagaram,
Denkada,Vizianagaram,
Gantyada,Vizianagaram,
Jami,Vizianagaram,
Kothavalasa,Vizianagaram,
Lakkavarapukota,Vizianagaram,
Nellimarla,Vizianagaram,
Pusapatirega,Vizianagaram,
Srungavarapukota,Vizianagaram,
Vepada,Vizianagaram,
Vizianagaram,Vizianagaram,
Akividu,West Godavari,
Bhimavaram,West Godavari,
Kalla,West Godavari,
Palacoderu,West Godavari,
Undi,West Godavari,
Veeravasaram,West Godavari,
Achanta,West Godavari,
Mogalthur,West Godavari,
Palakollu,West Godavari,
Penugonda,West Godavari,
Penumantra,West Godavari,
Poduru,West Godavari,
Yelamanchili,West Godavari,
Attili,West Godavari,
Ganapavaram,West Godavari,
Iragavaram,West Godavari,
Pentapadu,West Godavari,
Tadepalligudem,West Godavari,
Tanuku,West Godavari,
Atlur,YSR Kadapa,
B. Kodur,YSR Kadapa,
Badvel,YSR Kadapa,
Brahmamgarimattam,YSR Kadapa,
Chapad,YSR Kadapa,
Duvvur,YSR Kadapa,
Gopavaram,YSR Kadapa,
Kalasapadu,YSR Kadapa,
Khajipet,YSR Kadapa,
Porumamilla,YSR Kadapa,
S.Mydukur,YSR Kadapa,
Sri Avadhutha Kasinayana,YSR Kadapa,
Jammalamadugu,YSR Kadapa,
Kondapuram,YSR Kadapa,
Muddanur,YSR Kadapa,
Mylavaram,YSR Kadapa,
Peddamudium,YSR Kadapa,
Proddatur,YSR Kadapa,
Rajupalem,YSR Kadapa,
Chennur,YSR Kadapa,
Chinthakommadinne,YSR Kadapa,
Kadapa,YSR Kadapa,
Kamalapuram,YSR Kadapa,
Pendlimarri,YSR Kadapa,
Sidhout,YSR Kadapa,
Vallur,YSR Kadapa,
Vontimitta,YSR Kadapa,
Yerraguntla,YSR Kadapa,
Chakrayapet,YSR Kadapa,
Lingala,YSR Kadapa,
Pulivendla,YSR Kadapa,
Simhadripuram,YSR Kadapa,
Thondur,YSR Kadapa,
Veerapunayunipalle,YSR Kadapa,
Vempalle,YSR Kadapa,
Vemula,YSR Kadapa,
